application_id,customer_id,related_parties_id,document_id,document_url,db_status,s3_status
966,983,371,6077,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/371/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
966,983,,6083,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/983/CHEQUE_PHOTO.jpg,,
966,983,,6084,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/983/BANK_PASSBOOK_PHOTO.jpg,,
966,983,,6085,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/983/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
966,983,,6086,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/983/CUST_HOUSE_IN.jpg,,
966,983,,6087,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/983/CUST_HOUSE_OUT.jpg,,
972,989,,6109,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/989/CUSTOMER_ADDRESS_VERIFICATION.jpg,,
972,989,,6110,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/989/CUSTOMER_ELECTRICITY.jpg,,
972,989,,6115,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/989/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
972,989,,6117,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/989/CHEQUE_PHOTO.jpg,,
1023,1041,,7057,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1041/CUSTOMER_VOTER.jpg,,
1026,1044,,7152,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1044/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
1026,1044,,7154,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1044/BANK_PASSBOOK_PHOTO.jpg,,
1011,1027,,7240,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1027/CUST_HOUSE_IN.jpg,,
1025,1043,,7350,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1043/CUST_HOUSE_OUT.jpg,,
1025,1043,,7351,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1043/CUST_HOUSE_IN.jpg,,
1025,1043,,7353,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1043/CUSTOMER_WATER.jpg,,
1019,1035,444,7354,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/444/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
